old_url,path,page_type,migration_status,title,language
https://zhongsai-steelstructure.com/,/,homepage,301_ONE_TO_ONE,中赛钢构｜钢结构设计、深化、制造与全球出口交付,OTHER
https://zhongsai-steelstructure.com/blog/,/blog/,blog,MIGRATE_CONTENT,钢结构博客 | 行业洞察、指南和成本分析 - 中赛钢构,OTHER
https://zhongsai-steelstructure.com/blog/gangjiegou-anzhuang-zhinan-haiwai,/blog/gangjiegou-anzhuang-zhinan-haiwai,blog,MIGRATE_CONTENT,钢结构建筑安装指南：海外项目分步操作手册,OTHER
https://zhongsai-steelstructure.com/blog/gangjiegou-vs-hunningtu-chengben-duibi,/blog/gangjiegou-vs-hunningtu-chengben-duibi,blog,MIGRATE_CONTENT,钢结构 vs 混凝土建筑：成本对比及如何选择,OTHER
https://zhongsai-steelstructure.com/blog/steel-structure-building-installation-guide-overseas,/blog/steel-structure-building-installation-guide-overseas,blog,MIGRATE_CONTENT,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,OTHER
https://zhongsai-steelstructure.com/blog/steel-structure-vs-concrete-building-cost-comparison,/blog/steel-structure-vs-concrete-building-cost-comparison,blog,MIGRATE_CONTENT,Steel Structure vs Concrete Building: Cost Comparison and Which is Better,OTHER
https://zhongsai-steelstructure.com/blog/top-10-steel-structure-manufacturers-in-china,/blog/top-10-steel-structure-manufacturers-in-china,blog,MIGRATE_CONTENT,Top 10 Steel Structure Manufacturers in China: How to Choose the Right One,OTHER
https://zhongsai-steelstructure.com/blog/zhongguo-gangjiegou-changjia-paiming,/blog/zhongguo-gangjiegou-changjia-paiming,blog,MIGRATE_CONTENT,中国钢结构厂家排名前十：如何选择靠谱的供应商,OTHER
https://zhongsai-steelstructure.com/en/blog/,/en/blog/,blog,MIGRATE_CONTENT,"Steel Structure Blog | Industry Insights, Guides and Cost Analysis - ZhongSai",EN
https://zhongsai-steelstructure.com/en/blog/astm-vs-gb-steel-grades-comparison,/en/blog/astm-vs-gb-steel-grades-comparison,blog,MIGRATE_CONTENT,ASTM vs GB Steel Grades: Complete Comparison for Steel Structures,EN
https://zhongsai-steelstructure.com/en/blog/how-to-buy-steel-buildings-from-china,/en/blog/how-to-buy-steel-buildings-from-china,blog,MIGRATE_CONTENT,How to Buy Steel Buildings from China: Complete Buyer Guide 2026,EN
https://zhongsai-steelstructure.com/en/blog/how-to-choose-steel-structure-manufacturer-china,/en/blog/how-to-choose-steel-structure-manufacturer-china,blog,MIGRATE_CONTENT,How to Choose a Steel Structure Manufacturer in China: 2026 Guide,EN
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide,/en/blog/how-to-import-steel-structure-from-china-complete-guide,blog,MIGRATE_CONTENT,How to Import Steel Structure from China: Complete 2026 Guide,EN
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa,/en/blog/how-to-import-steel-structure-from-china-to-africa,blog,MIGRATE_CONTENT,How to Import Steel Structure from China to Africa: Complete Guide 2026,EN
https://zhongsai-steelstructure.com/en/blog/prefab-steel-building-installation-guide,/en/blog/prefab-steel-building-installation-guide,blog,MIGRATE_CONTENT,Prefab Steel Building Installation Guide: Step-by-Step Process,EN
https://zhongsai-steelstructure.com/en/blog/prefab-steel-building-roof-systems-comparison,/en/blog/prefab-steel-building-roof-systems-comparison,blog,MIGRATE_CONTENT,Prefab Steel Building Roof Systems: Complete Comparison Guide,EN
https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china,/en/blog/shipping-cost-steel-structure-from-china,blog,MIGRATE_CONTENT,Shipping Cost for Steel Structure from China: 2026 Freight Guide,EN
https://zhongsai-steelstructure.com/en/blog/steel-structure-building-installation-guide-overseas,/en/blog/steel-structure-building-installation-guide-overseas,blog,MIGRATE_CONTENT,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,EN
https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide,/en/blog/steel-structure-container-loading-guide,blog,MIGRATE_CONTENT,Steel Structure Container Loading: Maximize Space & Save Freight Cost,EN
https://zhongsai-steelstructure.com/en/blog/steel-structure-corrosion-protection-guide,/en/blog/steel-structure-corrosion-protection-guide,blog,MIGRATE_CONTENT,Steel Structure Corrosion Protection: Paint vs Galvanizing Complete Guide,EN
https://zhongsai-steelstructure.com/en/blog/steel-structure-cost-per-square-meter,/en/blog/steel-structure-cost-per-square-meter,blog,MIGRATE_CONTENT,Steel Structure Cost Per Square Meter: 2026 Global Price Guide,EN
https://zhongsai-steelstructure.com/en/blog/steel-structure-design-standards-guide,/en/blog/steel-structure-design-standards-guide,blog,MIGRATE_CONTENT,"Steel Structure Design Standards: GB, ASTM, EN, AS Complete Guide",EN
