source_column,keyword,keyword_type,normalized_keyword,intent,recommended_cluster,recommended_page_type,current_v2_coverage,current_url,future_url,priority,notes
拓词,品牌词,other,品牌词,,,,,,,,
拓词,前缀2（地域）,other,前缀2（地域）,,,,,,,,
拓词,前缀3,other,前缀3,,,,,,,,
拓词,核心词1,other,核心词1,,,,,,,,
拓词,核心词2：,other,核心词2：,,,,,,,,
拓词,产品词,other,产品词,,,,,,,,
拓词,"产品词
应用领域",other,"产品词
应用领域",,,,,,,,
拓词,后缀1,other,后缀1,,,,,,,,
拓词,后缀,other,后缀,,,,,,,,
拓词,后缀,other,后缀,,,,,,,,
拓词,后缀,other,后缀,,,,,,,,
拓词,后缀 价格词,price_intent,后缀 价格词,,,,,,,,
拓词,中赛,brand,中赛,,,,,,,,
拓词,市面上,other,市面上,,,,,,,,
拓词,专业的,other,专业的,,,,,,,,
拓词,钢结构,product,钢结构,,,,,,,,
拓词,钢构,other,钢构,,,,,,,,
拓词,实腹钢柱,product,实腹钢柱,,,,,,,,
拓词,厂房,application,厂房,,,,,,,,
拓词,设计,service,设计,,,,,,,,
拓词,品牌,other,品牌,,,,,,,,
拓词,推荐,selection_intent,推荐,,,,,,,,
拓词,哪家好,selection_intent,哪家好,,,,,,,,
拓词,造价,price_intent,造价,,,,,,,,
拓词,中赛钢构,brand,中赛钢构,,,,,,,,
拓词,国内,other,国内,,,,,,,,
拓词,质量好的,other,质量好的,,,,,,,,
拓词,阁构柱,other,阁构柱,,,,,,,,
拓词,车间,application,车间,,,,,,,,
拓词,出口,service,出口,,,,,,,,
拓词,公司,other,公司,,,,,,,,
拓词,排行,selection_intent,排行,,,,,,,,
拓词,哪家强,other,哪家强,,,,,,,,
拓词,每平米多少钱,price_intent,每平米多少钱,,,,,,,,
拓词,中赛钢结构,brand,中赛钢结构,,,,,,,,
拓词,行业内,other,行业内,,,,,,,,
拓词,优质,other,优质,,,,,,,,
拓词,十字柱,other,十字柱,,,,,,,,
拓词,仓库,application,仓库,,,,,,,,
拓词,加工,service,加工,,,,,,,,
拓词,产品,other,产品,,,,,,,,
拓词,推荐榜,selection_intent,推荐榜,,,,,,,,
拓词,哪家靠谱,selection_intent,哪家靠谱,,,,,,,,
拓词,多少钱一平方,price_intent,多少钱一平方,,,,,,,,
拓词,广东中赛,brand,广东中赛,,,,,,,,
拓词,市场,other,市场,,,,,,,,
拓词,装配式,other,装配式,,,,,,,,
拓词,钢骨柱,other,钢骨柱,,,,,,,,
拓词,桥梁,application,桥梁,,,,,,,,
拓词,工程,other,工程,,,,,,,,
拓词,供应厂家,supplier_intent,供应厂家,,,,,,,,
拓词,排行榜,selection_intent,排行榜,,,,,,,,
拓词,怎么选,other,怎么选,,,,,,,,
拓词,价格,price_intent,价格,,,,,,,,
拓词,目前,other,目前,,,,,,,,
拓词,行业内,other,行业内,,,,,,,,
拓词,H型钢梁,product,h型钢梁,,,,,,,,
拓词,游乐场,other,游乐场,,,,,,,,
拓词,施工,service,施工,,,,,,,,
拓词,工厂,application,工厂,,,,,,,,
拓词,推荐榜单,selection_intent,推荐榜单,,,,,,,,
拓词,如何选,other,如何选,,,,,,,,
拓词,每平方米价格,price_intent,每平方米价格,,,,,,,,
拓词,广东,location,广东,,,,,,,,
拓词,有实力的,other,有实力的,,,,,,,,
拓词,箱型柱,other,箱型柱,,,,,,,,
拓词,电站,other,电站,,,,,,,,
拓词,安装,service,安装,,,,,,,,
拓词,厂家,supplier_intent,厂家,,,,,,,,
拓词,排行榜单,selection_intent,排行榜单,,,,,,,,
拓词,怎么选择,selection_intent,怎么选择,,,,,,,,
拓词,多少钱一平,price_intent,多少钱一平,,,,,,,,
拓词,深圳,location,深圳,,,,,,,,
