url,file,classification,language,h1_count,title,description_length
/404,404.html,NOINDEX,en,1,Page Not Found | ZhongSai Steel Structure,38
/en/about/,en\about\index.html,INDEXABLE,en,1,About ZhongSai Steel Structure | Steel Structure Manufacturing & Export,209
/en/blog/how-to-import-steel-structure-from-china-complete-guide/,en\blog\how-to-import-steel-structure-from-china-complete-guide\index.html,INDEXABLE,en,1,How to Import Steel Structure from China: Complete Guide | ZhongSai,181
/en/blog/how-to-import-steel-structure-from-china-to-africa/,en\blog\how-to-import-steel-structure-from-china-to-africa\index.html,INDEXABLE,en,1,How to Import Steel Structure from China to Africa: Complete Guide | ZhongSai,208
/en/blog/shipping-cost-steel-structure-from-china/,en\blog\shipping-cost-steel-structure-from-china\index.html,INDEXABLE,en,1,Shipping Cost for Steel Structure from China: Freight Guide | ZhongSai,192
/en/blog/steel-structure-container-loading-guide/,en\blog\steel-structure-container-loading-guide\index.html,INDEXABLE,en,1,Steel Structure Container Loading Guide | ZhongSai,188
/en/blog/steel-warehouse-cost-complete-guide/,en\blog\steel-warehouse-cost-complete-guide\index.html,INDEXABLE,en,1,Steel Warehouse Cost: Factors Affecting Price from China | ZhongSai,214
/en/components/fabricated-steel-beams-columns/,en\components\fabricated-steel-beams-columns\index.html,INDEXABLE,en,1,Fabricated Steel Beams & Columns | Custom Steel Fabrication | ZhongSai,248
/en/components/,en\components\index.html,INDEXABLE,en,1,"Steel Components & Cladding Systems | Beams, Columns, Trusses, Purlins | ZhongSai",246
/en/components/roof-wall-cladding-systems/,en\components\roof-wall-cladding-systems\index.html,INDEXABLE,en,1,Steel Roof & Wall Cladding Systems | ZhongSai,267
/en/components/steel-purlins/,en\components\steel-purlins\index.html,INDEXABLE,en,1,Steel Purlins | C Purlins & Z Purlins Cold-Formed for Roof and Wall | ZhongSai,186
/en/components/steel-trusses/,en\components\steel-trusses\index.html,INDEXABLE,en,1,"Steel Trusses | Roof Trusses, Pipe Trusses & Transfer Trusses Fabricated to Drawings | ZhongSai",211
/en/contact/,en\contact\index.html,INDEXABLE,en,1,Contact ZhongSai Steel Structure | Project Inquiry & Quote,149
/en/engineering-design/,en\engineering-design\index.html,INDEXABLE,en,1,Steel Building Design Services | Engineering for Fabrication | ZhongSai,197
/en/export-delivery/,en\export-delivery\index.html,INDEXABLE,en,1,"Steel Structure Export from China | Packing, Loading & Delivery Support",212
/en/faq/,en\faq\index.html,NOINDEX,en,1,FAQ,76
/en/,en\index.html,INDEXABLE,en,1,"ZhongSai Steel Structure | Design, Detailing, Fabrication & Global Export Delivery",304
/en/manufacturing-quality/,en\manufacturing-quality\index.html,INDEXABLE,en,1,Steel Structure Manufacturing & Quality Control | ZhongSai,256
/en/privacy/,en\privacy\index.html,INDEXABLE,en,1,Privacy Policy | ZhongSai Steel Structure,133
/en/products/custom-engineering/,en\products\custom-engineering\index.html,INDEXABLE,en,1,Structural Steel Fabrication in China | Custom Fabrication | ZhongSai,263
/en/products/,en\products\index.html,INDEXABLE,en,1,"Steel Structure Solutions by Application | Industrial, Warehouse, Agriculture, Commercial | ZhongSai",243
/en/projects/cnooc-pr6-pipe-rack/,en\projects\cnooc-pr6-pipe-rack\index.html,INDEXABLE,en,1,CNOOC PR6 Pipe Rack 4-SS2 Frame Project | ZhongSai Steel Structure Projects,168
/en/projects/cnpc-cracking-furnace/,en\projects\cnpc-cracking-furnace\index.html,INDEXABLE,en,1,CNPC Sixth Construction Cracking Furnace Project | ZhongSai Steel Structure Projects,168
/en/projects/cnpc-liquid-furnace/,en\projects\cnpc-liquid-furnace\index.html,INDEXABLE,en,1,CNPC Sixth Construction Liquid Furnace Project | ZhongSai Steel Structure Projects,166
/en/projects/dongguan-huarun-center/,en\projects\dongguan-huarun-center\index.html,INDEXABLE,en,1,Dongguan Huarun Land Center Commercial & Residential Building Project | ZhongSai Steel Structure Projects,201
/en/projects/futian-bonded-zone-customs/,en\projects\futian-bonded-zone-customs\index.html,INDEXABLE,en,1,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project | ZhongSai Steel Structure Projects,204
/en/projects/guangzhou-high-end-equipment-base/,en\projects\guangzhou-high-end-equipment-base\index.html,INDEXABLE,en,1,Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&D and Production Base | ZhongSai Steel Structure Projects,218
/en/projects/,en\projects\index.html,INDEXABLE,en,1,Selected Steel Structure Projects | ZhongSai Manufacturing References,172
/en/projects/luohu-mixc-skybridge/,en\projects\luohu-mixc-skybridge\index.html,INDEXABLE,en,1,Shenzhen Luohu Mixc Commercial Center Skybridge Project | ZhongSai Steel Structure Projects,182
/en/projects/qianhai-dreamfactory/,en\projects\qianhai-dreamfactory\index.html,INDEXABLE,en,1,Shenzhen Qianhai Shenzhen-Hong Kong Youth Dream Factory Project | ZhongSai Steel Structure Projects,194
/en/projects/shantou-luxshare-electronics-center/,en\projects\shantou-luxshare-electronics-center\index.html,INDEXABLE,en,1,Shantou Luxshare Precision Global Electronic Information Industry Center Project | ZhongSai Steel Structure Projects,214
/en/projects/xiegang-aviation-manufacturing/,en\projects\xiegang-aviation-manufacturing\index.html,INDEXABLE,en,1,Shanghai Baoye Xiegang General Aviation Manufacturing & Supply Chain Project | ZhongSai Steel Structure Projects,208
/en/projects/yixian-biotech-manufacturing/,en\projects\yixian-biotech-manufacturing\index.html,INDEXABLE,en,1,Guangdong Yixian Biotechnology High-End Manufacturing Plant Project | ZhongSai Steel Structure Projects,189
/en/projects/zhanjiang-logistics-port/,en\projects\zhanjiang-logistics-port\index.html,INDEXABLE,en,1,Shenzhen International Zhanjiang Comprehensive Logistics Port Project | ZhongSai Steel Structure Projects,201
/en/services/structural-steel-detailing/,en\services\structural-steel-detailing\index.html,INDEXABLE,en,1,Structural Steel Detailing Services | Shop & Fabrication Drawings | ZhongSai,218
/en/solutions/,en\solutions\index.html,NOINDEX,en,1,Solutions,76
/en/steel-mining-factory/,en\steel-mining-factory\index.html,INDEXABLE,en,1,Steel Structures for Mining & Heavy Industrial Projects | ZhongSai,280
