priority_order,old_url,cluster,recommended_new_url,content_action,internal_links_from,notes
1,https://zhongsai-steelstructure.com/blog/gangjiegou-cangku-zaojia-duoshaoqian,Blog cluster: Warehouse Cost,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,SAFE_MERGE,,Blog cluster: Warehouse Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
2,https://zhongsai-steelstructure.com/blog/gangjiegou-chukou-feizhou-quanliucheng,Blog cluster: Import from China,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa/,SAFE_MERGE,,Blog cluster: Import from China | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
3,https://zhongsai-steelstructure.com/blog/how-much-does-steel-structure-warehouse-cost,Blog cluster: Warehouse Cost,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,SAFE_MERGE,,Blog cluster: Warehouse Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
4,https://zhongsai-steelstructure.com/blog/how-to-import-steel-structure-from-china-to-africa,Blog cluster: Import from China,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa/,SAFE_MERGE,,Blog cluster: Import from China | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
5,https://zhongsai-steelstructure.com/blog/top-10-steel-structure-manufacturers-in-china,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
6,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-indonesia-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
7,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-malaysia-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
8,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-mexico-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
9,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-philippines-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
10,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-saudi-arabia-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
11,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-thailand-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
12,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-uae-dubai-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
13,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-supplier-nigeria-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
14,https://zhongsai-steelstructure.com/en/blog/top-10-steel-structure-manufacturers-in-china,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
15,https://zhongsai-steelstructure.com/en/components/steel-purlins,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",https://zhongsai-steelstructure.com/en/components/,P1_30_DAYS,,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days."
16,https://zhongsai-steelstructure.com/en/components/steel-trusses,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",https://zhongsai-steelstructure.com/en/components/,P1_30_DAYS,,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days."
17,https://zhongsai-steelstructure.com/en/solutions,Solutions hub: V2 solutions is NOINDEX. Merge to /products/ as closest intent equivalent. Build proper solutions page in 30 days.,https://zhongsai-steelstructure.com/en/products/,SAFE_MERGE,,Solutions hub: V2 solutions is NOINDEX. Merge to /products/ as closest intent equivalent. Build proper solutions page in 30 days. | V2-CODEX-01 target validated.
18,https://zhongsai-steelstructure.com/en/steel-car-4s-dealership,"Application (steel-car-4s-dealership): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-car-4s-dealership): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
19,https://zhongsai-steelstructure.com/en/steel-exhibition-hall,"Application (steel-exhibition-hall): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-exhibition-hall): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
20,https://zhongsai-steelstructure.com/en/steel-hangar,"Application (steel-hangar): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-hangar): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
21,https://zhongsai-steelstructure.com/en/steel-hospital-building,"Application (steel-hospital-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-hospital-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
22,https://zhongsai-steelstructure.com/en/steel-hotel-restaurant,"Application (steel-hotel-restaurant): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-hotel-restaurant): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
23,https://zhongsai-steelstructure.com/en/steel-mining-factory,"Mining factory: V2 page exists but NOINDEX. Old page has real content. Legacy preserve at cutover (keep URL 200 with V2 framework + fact-checked content), then make indexable in 30 days.",,LEGACY_PRESERVE,,"Mining factory: V2 page exists but NOINDEX. Old page has real content. Legacy preserve at cutover (keep URL 200 with V2 framework + fact-checked content), then make indexable in 30 days."
