card_name_en,card_name_zh,category,action_type,target_url,target_anchor,target_h1,target_section,visual_asset,visual_type,seo_primary_keyword,status,notes
Steel Beams,钢梁,primary,anchor,/en/components/fabricated-steel-beams-columns/,steel-beams,Fabricated Steel Beams & Columns,H-Section Members,h-beam-product-illustration,ai-product-visual,fabricated steel beams,active,Added anchor #steel-beams to H-Section Members card
Steel Columns,钢柱,primary,anchor,/en/components/fabricated-steel-beams-columns/,steel-columns,Fabricated Steel Beams & Columns,Steel Columns,steel-column-product-illustration,ai-product-visual,fabricated steel columns,active,Added anchor #steel-columns to Steel Columns card
Box Sections,箱型截面,primary,anchor,/en/components/fabricated-steel-beams-columns/,box-sections,Fabricated Steel Beams & Columns,Custom Fabricated Members,box-section-product-illustration,ai-product-visual,box steel sections,active,Added anchor #box-sections to Custom Fabricated Members card
Crane Beams,吊车梁,primary,anchor,/en/components/fabricated-steel-beams-columns/,crane-beams,Fabricated Steel Beams & Columns,Crane Beams,crane-beam-product-illustration,ai-product-visual,crane beam fabrication,active,Added anchor #crane-beams to Crane Beams card
Steel Trusses,钢桁架,primary,detail_page,/en/components/steel-trusses/,,Steel Trusses,Full page,steel-truss-hero.jpg,ai-product-visual,structural steel trusses,active,New EN/ZH page created V2-09A
Platforms & Bracing,平台与支撑,primary,quote_action,/en/components/,,#quote,Quote Form,platform-bracing-illustration,ai-illustration,steel platform fabrication,active,No dedicated page; quote action with clear CTA
C Purlins,C型钢檩条,secondary,anchor,/en/components/steel-purlins/,c-purlins,C Purlins & Z Purlins,C Purlins section,c-purlin-profile-illustration,ai-product-visual,c steel purlins,active,New page with #c-purlins section
Z Purlins,Z型钢檩条,secondary,anchor,/en/components/steel-purlins/,z-purlins,C Purlins & Z Purlins,Z Purlins section,z-purlin-profile-illustration,ai-product-visual,z steel purlins,active,New page with #z-purlins section
Bracing System,支撑系统,secondary,quote_action,/en/components/,,#quote,Quote Form,bracing-system-illustration,ai-illustration,steel bracing,active,No dedicated page; quote action
Connection Components,连接构件,secondary,quote_action,/en/components/,,#quote,Quote Form,connection-components-illustration,ai-illustration,steel connection plates,active,No dedicated page; quote action
Roof Panels,屋面板,cladding,anchor,/en/components/roof-wall-cladding-systems/,roof-panels,Roof & Wall Cladding Systems,Roof Cladding Systems,roof-panel-product-illustration,ai-product-visual,steel roof panels,active,Added anchor #roof-panels
Wall Panels,墙面板,cladding,anchor,/en/components/roof-wall-cladding-systems/,wall-panels,Roof & Wall Cladding Systems,Wall Cladding Systems,wall-panel-product-illustration,ai-product-visual,steel wall panels,active,Existing anchor #wall-panels
Sandwich Panels,夹芯板,cladding,anchor,/en/components/roof-wall-cladding-systems/,sandwich-panels,Roof & Wall Cladding Systems,Insulated Sandwich Panels,sandwich-panel-section-illustration,ai-product-visual,insulated sandwich panels,active,Existing anchor #sandwich-panels
Cladding Accessories,围护附件,cladding,anchor,/en/components/roof-wall-cladding-systems/,cladding-accessories,Roof & Wall Cladding Systems,Ventilation & Daylighting / Accessories,cladding-accessories-illustration,ai-illustration,cladding accessories,active,Added anchor #cladding-accessories to skylights/ventilation section
