old_url,country,old_topic,search_intent,commercial_value,recommended_new_type,recommended_title,ai_visual_possible,seo_value,risk,priority,human_approval_required
/en/projects/nigeria-logistics-warehouse/,Nigeria,物流仓库,steel warehouse Nigeria,high,Design Reference,Nigeria Steel Warehouse Design Concept,yes,high,medium,P1,YES
/en/projects/saudi-arabia-manufacturing-factory/,Saudi Arabia,制造工厂,steel factory Saudi Arabia,high,Design Reference,Saudi Industrial Factory Steel Structure Concept,yes,high,medium,P1,YES
/en/projects/indonesia-mining-steel-structure/,Indonesia,矿业钢结构,mining steel structure Indonesia,high,Design Reference,Indonesia Mining Steel Structure Concept,yes,high,medium,P1,YES
/en/projects/vietnam-ecommerce-logistics-center/,Vietnam,电商物流中心,steel warehouse Vietnam,medium,Design Reference,Vietnam Logistics Center Steel Structure Concept,yes,medium,low,P2,YES
/en/projects/philippines-food-processing-plant/,Philippines,食品加工厂,industrial building Philippines,medium,Design Reference,Philippines Food Processing Plant Concept,yes,medium,low,P2,YES
/en/projects/mexico-appliance-factory/,Mexico,家电厂,industrial factory Mexico,medium,Design Reference,Mexico Manufacturing Factory Steel Concept,yes,medium,low,P2,YES
/en/projects/kenya-dairy-farm/,Kenya,奶牛场,agricultural steel building Kenya,medium,Design Reference,Kenya Dairy Farm Steel Structure Concept,yes,medium,low,P2,YES
/en/projects/tanzania-grain-storage-warehouse/,Tanzania,粮食仓库,agricultural warehouse Tanzania,low,Design Reference,Tanzania Grain Storage Warehouse Concept,yes,low,low,P3,YES
/en/projects/ethiopia-textile-factory/,Ethiopia,纺织厂,textile factory steel structure,low,Design Reference,Ethiopia Textile Factory Steel Concept,yes,low,low,P3,YES
/en/projects/malaysia-commercial-complex/,Malaysia,商业综合体,commercial steel building Malaysia,medium,Design Reference,Malaysia Commercial Complex Steel Concept,yes,medium,medium,P2,YES
/en/projects/dubai-industrial-warehouse/,UAE,工业仓库,steel warehouse UAE,high,Design Reference,Dubai Industrial Warehouse Steel Concept,yes,high,medium,P1,YES
/en/projects/south-africa-auto-parts-factory/,South Africa,汽车配件厂,auto parts factory steel,low,Design Reference,South Africa Auto Parts Factory Concept,yes,low,low,P3,YES
/en/projects/oman-oil-equipment-workshop/,Oman,石油设备车间,oil equipment steel structure,medium,Design Reference,Oman Oil Equipment Workshop Concept,yes,medium,medium,P2,YES
/en/projects/peru-mining-workshop/,Peru,矿业车间,mining workshop steel Peru,low,Design Reference,Peru Mining Workshop Steel Concept,yes,low,low,P3,YES
/en/projects/brazil-chinese-supermarket/,Brazil,中国超市,commercial building Brazil,low,Design Reference,Brazil Commercial Supermarket Steel Concept,yes,low,low,P3,YES
