date,old_url,new_url,match_type,source_before,source_after,verification_status,notes
2026-09-14,/en/projects.html,/en/projects/,A,Pages,Bulk,PASS,Pilot
2026-09-14,/en/steel-warehouse-logistics.html,/en/steel-warehouse/,A,Pages,Bulk,PASS,Pilot
2026-09-14,/en/products/materials/cz-purlin.html,/en/components/steel-purlins/,B,Pages,Bulk,PASS,Pilot
2026-09-14,/en/blog/steel-structure-supplier-thailand-guide/,/en/markets/thailand/,B,Pages,Bulk,PASS,Pilot
2026-09-14,/en/blog/steel-structure-corrosion-protection-guide/,/en/blog/steel-structure-corrosion-protection-coating-guide/,A,Pages,Bulk,PASS,Pilot
2026-09-14,/en/blog/steel-structure-supplier-malaysia-guide/,/en/markets/malaysia/,B,Pages,Bulk,PASS,Pilot
2026-09-14,/en/products/materials/sandwich-panel.html,/en/components/roof-wall-cladding-systems/,A,Pages,Bulk,PASS,Pilot
2026-09-14,/zh/products/materials/cz-purlin,/zh/components/steel-purlins/,A,Pages,Bulk,PASS,Pilot
2026-09-14,/products/steel-warehouse.html,/en/steel-warehouse/,A,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/steel-workshop.html,/en/steel-workshop/,A,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/steel-equipment-platform.html,/en/products/custom-engineering/,B,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/steel-school-building.html,/en/commercial-public-steel-buildings/,B,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/commercial-public.html,/en/commercial-public-steel-buildings/,B,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/steel-office-building.html,/en/commercial-public-steel-buildings/,B,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/steel-sports-arena.html,/en/commercial-public-steel-buildings/,B,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/structural-steel-components.html,/en/components/,B,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/custom-engineering.html,/en/products/custom-engineering/,A,Pages,Bulk,PASS,Batch2-A
2026-09-14,/products/materials/cz-purlin.html,/en/components/steel-purlins/,B,Pages,Bulk,PASS,Batch2-A
2026-09-14,/en/products/about.html,/en/about/,A,Pages,Bulk,PASS,Batch2-B
2026-09-14,/en/about.html,/en/about/,A,Pages,Bulk,PASS,Batch2-B
2026-09-14,/en/zh/steel-equipment-platform.html,/en/products/custom-engineering/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/en/zh/steel-workshop-processing.html,/en/steel-workshop/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/en/zh/products.html,/en/products/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/en/zh/projects.html,/en/projects/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/steel-buildings.html,/en/solutions/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/en/steel-buildings.html,/en/solutions/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/zh/steel-buildings.html,/zh/solutions/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/solutions/agriculture.html,/en/agricultural-steel-buildings/,B,Pages,Bulk,PASS,Batch2-B
2026-09-14,/zh/solutions/agriculture.html,/zh/agricultural-steel-buildings/,B,Pages,Bulk,PASS,Batch2-C
2026-09-14,/solutions/mining.html,/en/steel-mining-factory/,B,Pages,Bulk,PASS,Batch2-C
2026-09-14,/services/steel-structure-export.html,/en/export-delivery/,B,Pages,Bulk,PASS,Batch2-C
2026-09-14,/services/structural-steel-detailing.html,/en/services/structural-steel-detailing/,B,Pages,Bulk,PASS,Batch2-C
2026-09-14,/projects/china-huarun-center.html,/en/projects/dongguan-huarun-center/,A,Pages,Bulk,PASS,Batch2-C
2026-09-18,/en/blog/steel-structure-supplier-thailand-guide,/en/markets/thailand/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/en/blog/steel-structure-supplier-saudi-arabia-guide,/en/markets/saudi-arabia/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/en/blog/prefab-steel-building-roof-systems-comparison,/en/components/roof-wall-cladding-systems/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/blog/how-to-import-steel-structure-from-china-to-africa,/en/blog/how-to-import-steel-structure-from-china-to-africa/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/en/blog/steel-structure-export-packaging-container-loading-guide,/en/blog/how-steel-structures-packed-loaded-export/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/en/blog/steel-structure-project-timeline-guide,/en/blog/steel-structure-project-timeline-drawing-to-delivery/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/en/steel-building-solutions/agriculture.html,/en/agricultural-steel-buildings/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/products,/en/products/,A,None,Bulk,PASS,AI-Recovery-1A
2026-09-18,/en/blog/gangjiegou-changfang-zaojia-zhinan.html,/en/blog/steel-warehouse-cost-complete-guide/,A,Pages,Bulk,PASS,Phase2A-Shadow
2026-09-18,/en/blog/zhongguo-gangjiegou-changjia-paiming.html,/en/blog/how-to-choose-steel-structure-supplier/,A,Pages,Bulk,PASS,Phase2A-Shadow

2026-09-18,/en/blog/steel-structure-supplier-uae-dubai-guide,/en/markets/uae/,A,None,Bulk,PASS,UAE-Market-Recovery
2026-09-18,/en/blog/steel-structure-supplier-uae-dubai-guide/,/en/markets/uae/,A,None,Bulk,PASS,UAE-Market-Recovery
2026-09-18,/en/blog/steel-structure-supplier-uae-dubai-guide.html,/en/markets/uae/,A,Pages-wildcard-wrong,Bulk,PASS,UAE-Market-Recovery
2026-09-18,/zh/blog/steel-structure-supplier-uae-dubai-guide,/zh/markets/uae/,A,None,Bulk,PASS,UAE-Market-Recovery
2026-09-18,/zh/blog/steel-structure-supplier-uae-dubai-guide/,/zh/markets/uae/,A,None,Bulk,PASS,UAE-Market-Recovery
2026-09-18,/zh/blog/steel-structure-supplier-uae-dubai-guide.html,/zh/markets/uae/,A,Pages-wildcard-wrong,Bulk,PASS,UAE-Market-Recovery
