old_path,old_url,language,old_title,old_h1,page_type,migration_action,new_path,new_url,reason,confidence,priority,launch_blocker
,https://zhongsai-steelstructure.com,OTHER,"ZhongSai Steel Structure | Design, Detailing, Fabrication &amp; Global Export Delivery",From Drawings toConstruction Site,homepage,ROOT_CUTOVER,/en/,https://zhongsai-steelstructure.com/en/,Root redirect to EN homepage after cutover,HIGH,P0,NO
/en,https://zhongsai-steelstructure.com/en,EN,"ZhongSai Steel Structure | Design, Detailing, Fabrication &amp; Global Export Delivery",From Drawings toConstruction Site,other,KEEP,/en/,https://zhongsai-steelstructure.com/en/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/about,https://zhongsai-steelstructure.com/en/about,EN,About ZhongSai Steel Structure | Steel Structure Manufacturing &amp; Export,Steel Structure Manufacturing for Overseas Projects,about,KEEP,/en/about/,https://zhongsai-steelstructure.com/en/about/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/agricultural-steel-buildings,https://zhongsai-steelstructure.com/en/agricultural-steel-buildings,EN,Agricultural Steel Buildings | Livestock &amp; Farm Steel Structures | ZhongSai,Agricultural Steel Buildings & Livestock Structures,other,KEEP,/en/agricultural-steel-buildings/,https://zhongsai-steelstructure.com/en/agricultural-steel-buildings/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/common-mistakes-importing-steel-structures-china,https://zhongsai-steelstructure.com/en/blog/common-mistakes-importing-steel-structures-china,EN,7 Common Mistakes Importing Steel Structures from China | Avoid These Pitfalls,7 Common Mistakes When Importing Steel Structures from China (And How to Avoid Them),blog,KEEP,/en/blog/common-mistakes-importing-steel-structures-china/,https://zhongsai-steelstructure.com/en/blog/common-mistakes-importing-steel-structures-china/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/how-to-choose-steel-structure-supplier,https://zhongsai-steelstructure.com/en/blog/how-to-choose-steel-structure-supplier,EN,How to Choose a Steel Structure Manufacturer in China: Complete Buyer Guide,How to Choose a Steel Structure Manufacturer in China,blog,KEEP,/en/blog/how-to-choose-steel-structure-supplier/,https://zhongsai-steelstructure.com/en/blog/how-to-choose-steel-structure-supplier/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/how-to-import-steel-structure-from-china-complete-guide,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide,EN,How to Import Steel Structure from China: Complete Guide | ZhongSai,How to Import Steel Structure from China: Complete Guide,blog,KEEP,/en/blog/how-to-import-steel-structure-from-china-complete-guide/,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/how-to-import-steel-structure-from-china-to-africa,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa,EN,How to Import Steel Structure from China to Africa: Complete Guide | ZhongSai,How to Import Steel Structure from China to Africa: Complete Guide,blog,KEEP,/en/blog/how-to-import-steel-structure-from-china-to-africa/,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/how-to-steel-structure-cost,https://zhongsai-steelstructure.com/en/blog/how-to-steel-structure-cost,EN,How To Steel Structure Cost | Complete Guide | ZhongSai Steel Structure,How To Steel Structure Cost: Complete Guide for Buyers,blog,KEEP,/en/blog/how-to-steel-structure-cost/,https://zhongsai-steelstructure.com/en/blog/how-to-steel-structure-cost/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/import-steel-from-china-cost,https://zhongsai-steelstructure.com/en/blog/import-steel-from-china-cost,EN,Import Steel From China Cost | Complete Guide | ZhongSai Steel Structure,Import Steel From China Cost: Complete Guide for Buyers,blog,KEEP,/en/blog/import-steel-from-china-cost/,https://zhongsai-steelstructure.com/en/blog/import-steel-from-china-cost/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/shipping-cost-steel-structure-from-china,https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china,EN,Shipping Cost for Steel Structure from China: Freight Guide | ZhongSai,Shipping Cost for Steel Structure from China: Freight Guide,blog,KEEP,/en/blog/shipping-cost-steel-structure-from-china/,https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/steel-structure-building-lifespan-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-building-lifespan-guide,EN,How Long Do Steel Structure Buildings Last? Complete Lifespan Guide | ZhongSai,"How Long Do Steel Structure Buildings Last? Durability, Maintenance &amp; Lifespan Guide",blog,KEEP,/en/blog/steel-structure-building-lifespan-guide/,https://zhongsai-steelstructure.com/en/blog/steel-structure-building-lifespan-guide/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/steel-structure-container-loading-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide,EN,Steel Structure Container Loading Guide | ZhongSai,Steel Structure Container Loading Guide,blog,KEEP,/en/blog/steel-structure-container-loading-guide/,https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/steel-structure-corrosion-protection-coating-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-corrosion-protection-coating-guide,EN,Steel Structure Corrosion Protection &amp; Coating Complete Guide | ZhongSai,Steel Structure Corrosion Protection &amp; Coating Complete Guide,blog,KEEP,/en/blog/steel-structure-corrosion-protection-coating-guide/,https://zhongsai-steelstructure.com/en/blog/steel-structure-corrosion-protection-coating-guide/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/steel-structure-fabrication-drawings-documents-required,https://zhongsai-steelstructure.com/en/blog/steel-structure-fabrication-drawings-documents-required,EN,Drawings &amp; Documents Required for Steel Structure Fabrication | Complete Guide,What Drawings &amp; Documents Are Required for Steel Structure Fabrication?,blog,KEEP,/en/blog/steel-structure-fabrication-drawings-documents-required/,https://zhongsai-steelstructure.com/en/blog/steel-structure-fabrication-drawings-documents-required/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/steel-structure-installation-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-installation-guide,EN,Steel Structure Installation Guide for Overseas Projects | ZhongSai Steel Structure,Steel Structure Installation Guide for Overseas Projects,blog,KEEP,/en/blog/steel-structure-installation-guide/,https://zhongsai-steelstructure.com/en/blog/steel-structure-installation-guide/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/steel-structure-welding-quality-control-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-welding-quality-control-guide,EN,Steel Structure Welding Quality Control Guide | ZhongSai,Steel Structure Welding Quality Control: Complete Guide for Buyers,blog,KEEP,/en/blog/steel-structure-welding-quality-control-guide/,https://zhongsai-steelstructure.com/en/blog/steel-structure-welding-quality-control-guide/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/blog/steel-warehouse-cost-complete-guide,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide,EN,Steel Warehouse Cost: Factors Affecting Price from China | ZhongSai,Steel Warehouse Cost: Factors Affecting Price from China,blog,KEEP,/en/blog/steel-warehouse-cost-complete-guide/,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/commercial-public-steel-buildings,https://zhongsai-steelstructure.com/en/commercial-public-steel-buildings,EN,"Commercial &amp; Public Steel Buildings | Shopping Mall, Showroom, Hospital Steel Structure | ZhongSai",Commercial & Public Steel Buildings,other,KEEP,/en/commercial-public-steel-buildings/,https://zhongsai-steelstructure.com/en/commercial-public-steel-buildings/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/components,https://zhongsai-steelstructure.com/en/components,EN,"Steel Components &amp; Cladding Systems | Beams, Columns, Trusses, Purlins | ZhongSai",Custom Steel Components &Cladding Systems to Drawings,component,KEEP,/en/components/,https://zhongsai-steelstructure.com/en/components/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/components/fabricated-steel-beams-columns,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns,EN,Fabricated Steel Beams &amp; Columns | Custom Steel Fabrication | ZhongSai,Fabricated Steel Beams & Columns to Project Drawings,component,KEEP,/en/components/fabricated-steel-beams-columns/,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/components/roof-wall-cladding-systems,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems,EN,Steel Roof &amp; Wall Cladding Systems | ZhongSai,Steel Roof & Wall Cladding Systems for Steel Buildings,component,KEEP,/en/components/roof-wall-cladding-systems/,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/components/steel-purlins,https://zhongsai-steelstructure.com/en/components/steel-purlins,EN,Steel Purlins | C Purlins &amp; Z Purlins Cold-Formed for Roof and Wall | ZhongSai,C Purlins & Z PurlinsCold-Formed to Project Specs,component,KEEP,/en/components/steel-purlins/,https://zhongsai-steelstructure.com/en/components/steel-purlins/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/components/steel-trusses,https://zhongsai-steelstructure.com/en/components/steel-trusses,EN,"Steel Trusses | Roof Trusses, Pipe Trusses &amp; Transfer Trusses Fabricated to Drawings | ZhongSai",Custom Steel TrussesFabricated to Drawings,component,KEEP,/en/components/steel-trusses/,https://zhongsai-steelstructure.com/en/components/steel-trusses/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/contact,https://zhongsai-steelstructure.com/en/contact,EN,Contact ZhongSai Steel Structure | Project Inquiry &amp; Quote,Send Your Steel Structure Project Requirements,contact,KEEP,/en/contact/,https://zhongsai-steelstructure.com/en/contact/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/engineering-design,https://zhongsai-steelstructure.com/en/engineering-design,EN,Steel Building Design Services | Engineering for Fabrication | ZhongSai,Steel Building Design Services for Fabrication & Export Projects,other,KEEP,/en/engineering-design/,https://zhongsai-steelstructure.com/en/engineering-design/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/export-delivery,https://zhongsai-steelstructure.com/en/export-delivery,EN,"Steel Structure Export from China | Packing, Loading &amp; Delivery Support",Steel Structure Export Supply from China,other,KEEP,/en/export-delivery/,https://zhongsai-steelstructure.com/en/export-delivery/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/manufacturing-quality,https://zhongsai-steelstructure.com/en/manufacturing-quality,EN,Steel Structure Manufacturing &amp; Quality Control | ZhongSai,Steel Structure Manufacturing& Quality Control,manufacturing,KEEP,/en/manufacturing-quality/,https://zhongsai-steelstructure.com/en/manufacturing-quality/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/privacy,https://zhongsai-steelstructure.com/en/privacy,EN,Privacy Policy | ZhongSai Steel Structure,Privacy Policy,legal,KEEP,/en/privacy/,https://zhongsai-steelstructure.com/en/privacy/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/products,https://zhongsai-steelstructure.com/en/products,EN,"Steel Structure Solutions by Application | Industrial, Warehouse, Agriculture, Commercial | ZhongSai",Steel Structure Solutionsby Building Application,product,KEEP,/en/products/,https://zhongsai-steelstructure.com/en/products/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/products/custom-engineering,https://zhongsai-steelstructure.com/en/products/custom-engineering,EN,Structural Steel Fabrication in China | Custom Fabrication | ZhongSai,Structural Steel Fabrication in China for Overseas Projects,product,KEEP,/en/products/custom-engineering/,https://zhongsai-steelstructure.com/en/products/custom-engineering/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/projects,https://zhongsai-steelstructure.com/en/projects,EN,Selected Steel Structure Projects | ZhongSai Manufacturing References,Selected Steel Structure Projects,project,KEEP,/en/projects/,https://zhongsai-steelstructure.com/en/projects/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/projects/cnooc-pr6-pipe-rack,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack,EN,CNOOC PR6 Pipe Rack 4-SS2 Frame Project | ZhongSai Steel Structure Projects,CNOOC PR6 Pipe Rack 4-SS2 Frame Project,project,KEEP,/en/projects/cnooc-pr6-pipe-rack/,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/projects/cnpc-cracking-furnace,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace,EN,CNPC Sixth Construction Cracking Furnace Project | ZhongSai Steel Structure Projects,CNPC Sixth Construction Cracking Furnace Project,project,KEEP,/en/projects/cnpc-cracking-furnace/,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/projects/cnpc-liquid-furnace,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace,EN,CNPC Sixth Construction Liquid Furnace Project | ZhongSai Steel Structure Projects,CNPC Sixth Construction Liquid Furnace Project,project,KEEP,/en/projects/cnpc-liquid-furnace/,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/projects/dongguan-huarun-center,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center,EN,Dongguan Huarun Land Center Commercial &amp; Residential Building Project | ZhongSai Steel Structure Projects,Dongguan Huarun Land Center Commercial &amp; Residential Building Project,project,KEEP,/en/projects/dongguan-huarun-center/,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/projects/futian-bonded-zone-customs,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs,EN,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project | ZhongSai Steel Structure Projects,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project,project,KEEP,/en/projects/futian-bonded-zone-customs/,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs/,"Path identical in V2, same search intent",HIGH,P0,NO
/en/projects/guangzhou-high-end-equipment-base,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base,EN,Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&amp;D and Production Base | ZhongSai Steel Structure Projects,Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&amp;D and Production Base,project,KEEP,/en/projects/guangzhou-high-end-equipment-base/,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base/,"Path identical in V2, same search intent",HIGH,P0,NO
