pillar,cluster_article,primary_keyword,search_intent,target_product,related_project,internal_link_to,internal_link_from,priority,status
Steel Warehouse,Steel Warehouse Cost,steel warehouse cost,Informational,/en/steel-warehouse/,Zhanjiang Logistics,/en/steel-warehouse/,/en/steel-warehouse/,P0,LIVE
Steel Warehouse,Steel Warehouse Design Considerations,steel warehouse design,Informational,/en/steel-warehouse/,,/en/steel-warehouse/,,P1,PLANNED
Steel Warehouse,Steel Warehouse Span Guide,steel warehouse span,Informational,/en/steel-warehouse/,,/en/steel-warehouse/,,P2,PLANNED
Steel Warehouse,Steel Warehouse Insulation,steel warehouse insulation,Informational,/en/steel-warehouse/,,/en/steel-warehouse/,,P2,PLANNED
Steel Warehouse,Steel Warehouse Roof Options,steel warehouse roof,Informational,/en/steel-warehouse/,,/en/steel-warehouse/,,P2,PLANNED
Steel Warehouse,Steel Warehouse Installation,steel warehouse installation,Post-purchase,/en/steel-warehouse/,,/en/steel-warehouse/,,P1,PLANNED
Steel Warehouse,Steel Warehouse Shipping,steel warehouse shipping,Informational,/en/steel-warehouse/,,/en/steel-warehouse/,,P2,PLANNED
Steel Warehouse,Steel Warehouse vs Concrete Warehouse,steel warehouse vs concrete,Commercial Investigation,/en/steel-warehouse/,Zhanjiang Logistics,/en/steel-warehouse/,,P1,PLANNED
Steel Workshop,Steel Workshop Cost,steel workshop cost,Informational,/en/steel-workshop/,Xiegang Aviation,/en/steel-workshop/,/en/steel-workshop/,P0,PLANNED
Steel Workshop,Workshop Span Guide,workshop span guide,Informational,/en/steel-workshop/,,/en/steel-workshop/,,P2,PLANNED
Steel Workshop,Workshop with Crane,workshop with crane,Commercial Investigation,/en/steel-workshop/,,/en/steel-workshop/,,P1,PLANNED
Steel Workshop,Industrial Workshop Design,industrial workshop design,Informational,/en/steel-workshop/,,/en/steel-workshop/,,P1,PLANNED
Steel Workshop,Workshop Ventilation,workshop ventilation,Informational,/en/steel-workshop/,,/en/steel-workshop/,,P2,PLANNED
Steel Workshop,Workshop Installation,workshop installation,Post-purchase,/en/steel-workshop/,,/en/steel-workshop/,,P1,PLANNED
Steel Workshop,Steel Workshop vs Concrete Factory,steel workshop vs concrete factory,Commercial Investigation,/en/steel-workshop/,,/en/steel-workshop/,,P1,PLANNED
China Supplier,How to Choose a Steel Structure Manufacturer in China,how to choose steel structure manufacturer China,Commercial Investigation,/en/ /en/about/ /en/manufacturing-quality/,,/en/about/ /en/manufacturing-quality/,/en/about/ /en/manufacturing-quality/,P0,LIVE
China Supplier,How to Verify a Steel Structure Factory in China,how to verify steel structure factory China,Commercial Investigation,/en/manufacturing-quality/,,/en/manufacturing-quality/,,P0,PLANNED
China Supplier,Steel Structure Factory Audit Checklist,steel structure factory audit checklist,Informational,/en/manufacturing-quality/,,/en/manufacturing-quality/,,P1,PLANNED
China Supplier,What Certificates Should a Steel Structure Supplier Provide,steel structure supplier certificates,Commercial Investigation,/en/about/,,/en/about/,,P1,PLANNED
China Supplier,Manufacturer vs Trading Company,manufacturer vs trading company,Commercial Investigation,/en/about/,,/en/about/,,P1,PLANNED
China Supplier,Common Mistakes When Buying Steel Structures from China,common mistakes buying steel structures from China,Commercial Investigation,/en/about/ /en/contact/,,/en/contact/,,P1,PLANNED
Import,How to Import Steel Structure from China Complete Guide,how to import steel structure from China,Commercial Investigation,/en/export-delivery/,,/en/export-delivery/,/en/export-delivery/,P0,LIVE
Import,Import Steel Structure to Africa,import steel structure to Africa,Commercial Investigation,/en/export-delivery/,,/en/export-delivery/,,P2,LIVE
Import,Steel Structure Container Loading Guide,steel structure container loading guide,Informational,/en/export-delivery/,,/en/export-delivery/,/en/export-delivery/,P1,LIVE
Import,How Steel Structures Are Packed for Export,how steel structures packed for export,Informational,/en/export-delivery/,,/en/export-delivery/,,P1,PLANNED
Import,What Export Documents Are Required,steel structure export documents,Informational,/en/export-delivery/,,/en/export-delivery/,,P1,PLANNED
Import,Shipping Cost Steel Structure from China,shipping cost steel structure from China,Informational,/en/export-delivery/,,/en/export-delivery/,,P2,LIVE
Import,40HQ vs 40GP for Steel Structure Shipping,40HQ vs 40GP steel structure,Informational,/en/export-delivery/,,/en/export-delivery/,,P2,PLANNED
Cost,Steel Warehouse Cost Complete Guide,steel warehouse cost,Informational,/en/steel-warehouse/,Zhanjiang Logistics,/en/steel-warehouse/,/en/steel-warehouse/,P0,LIVE
Cost,Steel Workshop Cost,steel workshop cost,Informational,/en/steel-workshop/,Xiegang Aviation,/en/steel-workshop/,,P0,PLANNED
Cost,What Information Is Needed for a Steel Structure Quotation,steel structure quotation requirements,Transactional Support,/en/contact/,,/en/contact/,,P0,PLANNED
Cost,How Steel Structure Quotations Are Calculated,how steel structure quotations calculated,Informational,/en/contact/,,/en/contact/,,P1,PLANNED
Cost,How to Compare Steel Structure Supplier Quotations,how to compare steel structure quotations,Transactional Support,/en/contact/,,/en/contact/,,P1,PLANNED
Cost,Why Two Steel Structure Quotes Can Be Very Different,why steel structure quotes differ,Informational,/en/contact/,,/en/contact/,,P1,PLANNED
