category,old_url,title,language,recommended_action,priority,notes
blog,https://zhongsai-steelstructure.com/blog/gangjiegou-anzhuang-zhinan-haiwai,钢结构建筑安装指南：海外项目分步操作手册,OTHER,P2_GROWTH,P2_GROWTH,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/blog/gangjiegou-vs-hunningtu-chengben-duibi,钢结构 vs 混凝土建筑：成本对比及如何选择,OTHER,P2_GROWTH,P2_GROWTH,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/blog/steel-structure-building-installation-guide-overseas,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,OTHER,P2_GROWTH,P2_GROWTH,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/blog/steel-structure-vs-concrete-building-cost-comparison,Steel Structure vs Concrete Building: Cost Comparison and Which is Better,OTHER,P2_GROWTH,P2_GROWTH,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/astm-vs-gb-steel-grades-comparison,ASTM vs GB Steel Grades: Complete Comparison for Steel Structures,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Corrosion & Materials | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/prefab-steel-building-installation-guide,Prefab Steel Building Installation Guide: Step-by-Step Process,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/prefab-steel-building-roof-systems-comparison,Prefab Steel Building Roof Systems: Complete Comparison Guide,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Roof & Cladding | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/steel-structure-building-installation-guide-overseas,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/steel-structure-corrosion-protection-guide,Steel Structure Corrosion Protection: Paint vs Galvanizing Complete Guide,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Corrosion & Materials | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/steel-structure-foundation-design-guide,Steel Structure Foundation Design: Complete Guide for Industrial Buildings,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Foundation & Engineering | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/steel-structure-project-timeline-guide,Steel Structure Project Timeline: From Order to Installation Complete Guide,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Project Timeline | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/steel-structure-vs-concrete-building-cost-comparison,Steel Structure vs Concrete Building: Cost Comparison and Which is Better,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/steel-structure-vs-concrete-comparison,"Steel Structure vs Concrete: Cost, Speed, Durability Complete Comparison",EN,P2_GROWTH,P2_GROWTH,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/en/blog/steel-structure-wind-load-design-guide,Steel Structure Wind Load Design: Global Wind Zone Complete Guide,EN,P2_GROWTH,P2_GROWTH,Blog cluster: Foundation & Engineering | Medium intent technical guide: long-term growth
