old_url,topic_cluster,recommended_action,priority,notes,target_url
/blog/gangjiegou-cangku-zaojia-duoshaoqian,Warehouse Cost,MERGE_INTO_STRONG_PAGE,P1,中文仓库造价，合并到英文Cost Guide,/en/blog/steel-warehouse-cost-complete-guide/
/blog/how-much-does-steel-structure-warehouse-cost,Warehouse Cost,301_TO_PRIMARY,P1,英文仓库造价重复URL,/en/blog/steel-warehouse-cost-complete-guide/
/blog/steel-warehouse-cost-complete-guide,Warehouse Cost,KEEP_AND_UPDATE,P1,已保留的主Cost Guide,/en/blog/steel-warehouse-cost-complete-guide/
/blog/gangjiegou-changfang-zaojia-zhinan,Workshop Cost,KEEP_AND_UPDATE,P1,中文厂房造价指南（已创建）,/zh/blog/gangjiegou-changfang-zaojia-zhinan/
/blog/steel-workshop-cost-factory-building-price,Workshop Cost,301_TO_PRIMARY,P1,中文厂房造价重复URL,/zh/blog/gangjiegou-changfang-zaojia-zhinan/
/blog/how-to-import-steel-structure-from-china-complete-guide,Import from China,KEEP_AND_UPDATE,P1,已保留的进口指南,/en/blog/how-to-import-steel-structure-from-china-complete-guide/
/blog/gangjiegou-chukou-feizhou-quanliucheng,Import from China (Africa),KEEP_AND_UPDATE,P1,已保留的非洲进口指南,/en/blog/how-to-import-steel-structure-from-china-to-africa/
/blog/how-to-import-steel-structure-from-china-to-africa,Import from China (Africa),301_TO_PRIMARY,P1,重复URL,/en/blog/how-to-import-steel-structure-from-china-to-africa/
/blog/steel-structure-shipping-cost-from-china,Shipping & Container,KEEP_AND_UPDATE,P1,已保留的运输成本指南,/en/blog/steel-structure-shipping-cost-from-china/
/blog/steel-structure-container-loading-guide,Shipping & Container,KEEP_AND_UPDATE,P1,已保留的装柜指南,/en/blog/steel-structure-container-loading-guide/
/blog/gangjiegou-anzhuang-zhinan-haiwai,Installation Guide,REWRITE,P2,海外安装指南，需事实安全重写,
/blog/steel-structure-building-installation-guide-overseas,Installation Guide,REWRITE,P2,海外安装指南英文，需事实安全重写,
/blog/gangjiegou-vs-hunningtu-chengben-duibi,Steel vs Concrete,REWRITE,P2,钢结构vs混凝土成本对比,
