question,category,customer_stage,answer,related_product,related_guide,related_case,language,last_reviewed,technical_reviewer
What information is needed for a steel structure quotation?,Quotation,Quotation,"At minimum, provide: project location, building dimensions (length/width/height), span, design code, wind load, snow load, seismic requirement, crane requirements (if any), roof/wall specification, drawings if available, and destination port. More complete information leads to more accurate quotation.",All Products,/en/resources/steel-structure-quotation-requirements/,,en,2026-09-10,ZhongSai Engineering Team
Can ZhongSai design from architectural drawings?,Design,Research,"Yes. ZhongSai can provide structural design coordination based on architectural drawings, including load analysis, structural system selection, and preliminary member sizing. Final design should be confirmed by a local licensed engineer according to local building codes.",All Products,,,en,2026-09-10,ZhongSai Engineering Team
Can you produce according to local building codes?,Design,Research,"Yes. ZhongSai can fabricate according to commonly used international standards including GB, ASTM, EN, and AISC. Project-specific code requirements should be confirmed at the quotation stage.",All Products,,,en,2026-09-10,ZhongSai Engineering Team
Can you provide installation?,Installation,Purchase,"ZhongSai provides installation technical guidance, including erection drawings, installation videos, and can send engineers for on-site technical guidance. Local construction and erection labor are arranged by the client's local team.",All Products,/en/resources/steel-structure-installation-process/,,en,2026-09-10,ZhongSai Engineering Team
Do you provide foundation construction?,Installation,Research,"No. ZhongSai does not undertake local foundation construction, civil works, or general contracting. We provide structural steel material supply and installation technical guidance. Foundation works are arranged by the client's local construction team.",All Products,,,en,2026-09-10,ZhongSai Engineering Team
Can you ship directly to our port?,Shipping,Purchase,"Yes. ZhongSai can arrange shipping to most international ports. We provide container loading planning, packing lists, and export documentation. Destination port and Incoterms should be confirmed at quotation stage.",All Products,/en/blog/steel-structure-container-loading-guide/,,en,2026-09-10,ZhongSai Export Team
How is steel packed for export?,Shipping,Research,"Steel components are marked with unique identification numbers, packed according to erection sequence, and protected for ocean transport. Packing lists match marking numbers for easy site sorting. Container loading plans are organized by installation sequence.",All Products,/en/blog/steel-structure-container-loading-guide/,,en,2026-09-10,ZhongSai Export Team
Can you provide drawings for installation?,Installation,Purchase,"Yes. ZhongSai provides installation drawings including erection drawings, bolt tightening schedules, and general installation guidance. Video resources and engineer support are also available for complex projects.",All Products,/en/resources/steel-structure-installation-process/,,en,2026-09-10,ZhongSai Engineering Team
How is pricing calculated?,Quotation,Quotation,"Steel structure pricing depends on: building size, span, height, steel grade, design loads (wind/snow/seismic), crane requirements, roof/wall system specification, surface treatment, fireproofing requirements, shipping distance, and installation conditions. There is no fixed per-square-meter price for custom projects.",All Products,/en/resources/steel-structure-quotation-requirements/,,en,2026-09-10,ZhongSai Engineering Team
How long does production take?,Production,Research,"Production timeline varies by project size, complexity, and current production schedule. Typical fabrication lead time ranges from 3-8 weeks after drawing confirmation. Specific timeline should be confirmed at quotation and contract stage.",All Products,,,en,2026-09-10,ZhongSai Production Team
What is the difference between painting and galvanizing?,Quality,Research,"Painting provides a protective coating applied after fabrication, suitable for most indoor and moderate outdoor environments. Hot-dip galvanizing provides a thicker, more durable zinc coating, recommended for highly corrosive environments. Choice depends on project environment, maintenance access, and budget.",All Products,/en/resources/painting-vs-galvanizing/,,en,2026-09-10,ZhongSai Engineering Team
Can I visit your factory?,Factory,Supplier Verification,"Yes. Factory visits can be arranged by appointment. We can also provide factory videos, production records, and coordinate third-party inspection (SGS, BV, TÜV, or client-specified) based on project requirements.",Manufacturing & Quality,/en/resources/steel-structure-factory-verification/,,en,2026-09-10,ZhongSai Export Team
What certificates do you have?,Certification,Supplier Verification,"ZhongSai has ISO 9001 Quality Management certification. We work with GB, ASTM, and EN standards. Additional certifications and third-party inspection can be coordinated based on project requirements. Specific certificate scope should be verified before project commitment.",About,/en/resources/steel-structure-supplier-documents/,,en,2026-09-10,ZhongSai Engineering Team
钢结构厂房造价怎么算？,Quotation,Quotation,"钢结构厂房造价取决于：建筑面积、跨度、高度、钢号、设计荷载（风荷载/雪荷载/抗震）、行车要求、屋面墙面系统、表面处理、防火要求、运输距离和安装条件。定制项目没有固定的每平米造价，需要根据项目参数计算。",Steel Workshop,/zh/blog/gangjiegou-changfang-zaojia-zhinan/,,zh,2026-09-10,中赛技术团队
中赛能提供安装吗？,Installation,Purchase,"中赛提供安装技术指导，包括安装图纸、安装视频，可派工程师现场技术指导。当地施工和安装人工由客户当地团队负责。",All Products,,,zh,2026-09-10,中赛技术团队
中赛做基础施工吗？,Installation,Research,"不做。中赛不承担当地基础施工、土建工程或总承包。我们提供钢结构材料供应和安装技术指导。基础工程由客户当地施工团队负责。",All Products,,,zh,2026-09-10,中赛技术团队
