slug,project_name,location,category,params_count,images_count,has_year,has_scope,evidence_level,zhong_sai_scope,project_role,notes
zhanjiang-logistics-port,Shenzhen International Zhanjiang Comprehensive Logistics Port Project,Zhanjiang Guangdong,Logistics & Warehousing,11,5,False,False,LEVEL_B,"Steel fabrication and component supply based on project drawings",ASSOCIATED_FACTORY,"Large-scale logistics project, 100,700 m2, 3,160 tonnes steel"
dongguan-huarun-center,Dongguan Huarun Land Center Commercial & Residential Building Project,Dongguan Guangdong,Commercial & Residential,12,6,False,False,LEVEL_B,"Complex steel component fabrication",ASSOCIATED_FACTORY,"Super high-rise 249.1m, 838,100 m2, 2,380 tonnes"
xiegang-aviation-manufacturing,Shanghai Baoye Xiegang General Aviation Manufacturing Project,Dongguan Guangdong,Industrial Manufacturing,11,5,False,False,LEVEL_B,"Steel structure fabrication and supply",ASSOCIATED_FACTORY,"Aviation manufacturing facility"
guangzhou-high-end-equipment-base,Guangzhou Gongkong High-End Equipment R&D and Production Base,Guangzhou Guangdong,Industrial Manufacturing,9,5,False,False,LEVEL_B,"Steel structure fabrication and supply",ASSOCIATED_FACTORY,"High-end equipment production base"
shantou-luxshare-electronics-center,Shantou Luxshare Precision Global Electronic Information Industry Center,Shantou Guangdong,Industrial Manufacturing,7,5,False,False,LEVEL_B,"Steel structure fabrication and supply",ASSOCIATED_FACTORY,"Electronics industry center"
futian-bonded-zone-customs,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade,Shenzhen Guangdong,Infrastructure,10,5,False,False,LEVEL_B,"Steel structure fabrication and supply",ASSOCIATED_FACTORY,"Customs infrastructure upgrade"
qianhai-dreamfactory,Shenzhen Qianhai Shenzhen-Hong Kong Youth Dream Factory,Shenzhen Guangdong,Commercial & Public,11,5,False,False,LEVEL_B,"Steel structure fabrication and supply",ASSOCIATED_FACTORY,"Youth innovation center"
cnpc-cracking-furnace,CNPC Sixth Construction Cracking Furnace Project,Guangdong,Energy & Heavy Industry,11,5,False,False,LEVEL_B,"Heavy steel structure fabrication",ASSOCIATED_FACTORY,"Petrochemical cracking furnace"
cnpc-liquid-furnace,CNPC Sixth Construction Liquid Furnace Project,Guangdong,Energy & Heavy Industry,11,5,False,False,LEVEL_B,"Heavy steel structure fabrication",ASSOCIATED_FACTORY,"Petrochemical liquid furnace"
yixian-biotech-manufacturing,Guangdong Yixian Biotechnology High-End Manufacturing Plant,Guangdong,Industrial Manufacturing,7,5,False,False,LEVEL_B,"Steel structure fabrication and supply",ASSOCIATED_FACTORY,"Biotech manufacturing plant"
luohu-mixc-skybridge,Shenzhen Luohu Mixc Commercial Center Skybridge,Shenzhen Guangdong,Commercial & Public,7,5,False,False,LEVEL_B,"Complex steel component fabrication",ASSOCIATED_FACTORY,"Commercial center skybridge"
cnooc-pr6-pipe-rack,CNOOC PR6 Pipe Rack 4-SS2 Frame Project,Huizhou Guangdong,Energy & Heavy Industry,11,5,False,False,LEVEL_B,"Heavy steel structure fabrication",ASSOCIATED_FACTORY,"Offshore oil pipe rack"
singapore-cr101-depot,Singapore LTA CR101 MRT Depot,Singapore,Transportation Infrastructure,7,1,False,False,LEVEL_A,"Steel fabrication, packing, container loading and export supply",CURRENT_COMPANY,"Overseas MRT depot project - verified export project"
singapore-j102-mrt-station,Singapore LTA J102 MRT Station,Singapore,Transportation Infrastructure,7,1,False,False,LEVEL_A,"Steel fabrication, packing, container loading and export supply",CURRENT_COMPANY,"Overseas MRT station - verified export project"
singapore-j107-mrt-station,Singapore LTA J107 MRT Station,Singapore,Transportation Infrastructure,7,1,False,False,LEVEL_A,"Steel fabrication, packing, container loading and export supply",CURRENT_COMPANY,"Overseas MRT station - verified export project"
macau-londoner,Macau Londoner Project,Macau China,Commercial & Public,7,1,False,False,LEVEL_A,"Steel fabrication and component supply for export",CURRENT_COMPANY,"Overseas casino/hotel project - verified export project"
macau-city-of-dreams-phase2,Macau City of Dreams Phase 2,Macau China,Commercial & Public,7,1,False,False,LEVEL_A,"Steel fabrication and component supply for export",CURRENT_COMPANY,"Overseas casino/hotel project - verified export project"
singapore-sats-bup-centre,Singapore Changi Airport SATS BUP Centre,Singapore,Commercial & Public,7,1,False,False,LEVEL_A,"Steel fabrication, packing, container loading and export supply",CURRENT_COMPANY,"Airport cargo center - verified export project"
singapore-mcc-innocentre,Singapore MCC Innocentre,Singapore,Commercial & Public,7,1,False,False,LEVEL_A,"Steel fabrication, packing, container loading and export supply",CURRENT_COMPANY,"Innovation center - verified export project"
singapore-airport-t2-connect,Singapore Changi Airport T2 Connect,Singapore,Transportation Infrastructure,7,1,False,False,LEVEL_A,"Steel fabrication, packing, container loading and export supply",CURRENT_COMPANY,"Airport terminal connection - verified export project"
singapore-sentosa-waterfront-hotel,Singapore Sentosa Waterfront Hotel,Singapore,Commercial & Public,7,1,False,False,LEVEL_A,"Steel fabrication, packing, container loading and export supply",CURRENT_COMPANY,"Waterfront hotel - verified export project"
