old_url,title,language,page_type,reason_to_preserve,search_evidence,fact_cleanup_required,suggested_template,future_target,priority
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide,How to Import Steel Structure from China: Complete 2026 Guide,EN,blog,Blog cluster: Import from China | PRIMARY URL for cluster: legacy preserve at cutover,UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P0_CUTOVER
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa,How to Import Steel Structure from China to Africa: Complete Guide 2026,EN,blog,Blog cluster: Import from China | PRIMARY URL for cluster: legacy preserve at cutover,UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P0_CUTOVER
https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china,Shipping Cost for Steel Structure from China: 2026 Freight Guide,EN,blog,Blog cluster: Shipping & Container | PRIMARY URL for cluster: legacy preserve at cutover,UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P0_CUTOVER
https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide,Steel Structure Container Loading: Maximize Space & Save Freight Cost,EN,blog,Blog cluster: Shipping & Container | PRIMARY URL for cluster: legacy preserve at cutover,UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P0_CUTOVER
https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide,Steel Warehouse Cost: Complete 2026 Price Guide from China,EN,blog,Blog cluster: Warehouse Cost | PRIMARY URL for cluster: legacy preserve at cutover,UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P0_CUTOVER
https://zhongsai-steelstructure.com/en/components/steel-purlins,C & Z Steel Purlins for Steel Buildings | ZhongSai,EN,component,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,https://zhongsai-steelstructure.com/en/components/,P1_30_DAYS
https://zhongsai-steelstructure.com/en/components/steel-trusses,Custom Steel Truss Manufacturer & Fabrication | ZhongSai,EN,component,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,https://zhongsai-steelstructure.com/en/components/,P1_30_DAYS
https://zhongsai-steelstructure.com/en/landing,Free Steel Structure Quote | Prefab Steel Buildings from China - ZhongSai,EN,landing,"Landing page: active ad traffic UNKNOWN. Legacy preserve at cutover, review ad campaigns post-launch.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P2_GROWTH
https://zhongsai-steelstructure.com/en/steel-car-4s-dealership,Prefab Steel Structure Car 4S Dealership & Brand Store Manufacturer,EN,application,"Application (steel-car-4s-dealership): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/en/steel-exhibition-hall,Large Span Steel Structure Exhibition Hall & Convention Center Manufacturer,EN,application,"Application (steel-exhibition-hall): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/en/steel-hangar,Steel Structure Hangar & Aircraft Hangar Manufacturer China | ZhongSai,EN,application,"Application (steel-hangar): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/en/steel-hospital-building,Prefab Steel Structure Hospital Building Manufacturer China,EN,application,"Application (steel-hospital-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/en/steel-hotel-restaurant,Prefab Steel Structure Hotel & Restaurant Building Manufacturer,EN,application,"Application (steel-hotel-restaurant): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/en/steel-mining-factory,Steel Structures for Mining & Heavy Industrial Projects | ZhongSai,EN,application,"Mining factory: V2 page exists but NOINDEX. Old page has real content. Legacy preserve at cutover (keep URL 200 with V2 framework + fact-checked content), then make indexable in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P0_CUTOVER
https://zhongsai-steelstructure.com/en/steel-office-building,Prefab Steel Structure Office Building Manufacturer China,EN,application,"Application (steel-office-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/en/steel-school-building,Prefab Steel Structure School Building Manufacturer China,EN,application,"Application (steel-school-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/en/steel-sports-arena,Large Span Steel Structure Sports Arena & Gymnasium Manufacturer,EN,application,"Application (steel-sports-arena): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
