url,language,page_type,title,h1,topic,primary_keyword,secondary_keywords,search_intent,user_stage,business_value,keyword_conflict,recommended_action
https://zhongsai-steelstructure.com/en/,EN,homepage,"ZhongSai Steel Structure | Design, Detailing, Fabrication & Global Export Delivery",From Drawings toConstruction Site,From Drawings toConstruction Site,steel structure manufacturer China,"steel structure supplier China, prefabricated steel structure manufacturer, steel structure export supplier",Commercial Investigation,Awareness / Research,High,None,KEEP
https://zhongsai-steelstructure.com/en/products/,EN,products_hub,"Steel Structure Solutions by Application | Industrial, Warehouse, Agriculture, Commercial | ZhongSai",Steel Structure Solutionsby Building Application,Steel Structure Solutionsby Building Application,steel structure solutions,"steel building types, industrial steel structure, commercial steel building",Commercial Investigation,Research,High,None,KEEP
https://zhongsai-steelstructure.com/en/products/custom-engineering/,EN,product_category,Structural Steel Fabrication in China | Custom Fabrication | ZhongSai,Structural Steel Fabrication in China for Overseas Projects,Structural Steel Fabrication in China for Overseas Projects,industrial steel building,"steel structure application, prefab steel building",Commercial Investigation,Research / Comparison,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/components/,EN,components_hub,"Steel Components & Cladding Systems | Beams, Columns, Trusses, Purlins | ZhongSai",Custom Steel Components &Cladding Systems to Drawings,Custom Steel Components &Cladding Systems to Drawings,steel structure components,"fabricated steel beams, steel columns, steel trusses",Commercial Investigation,Research,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,EN,component_detail,Fabricated Steel Beams & Columns | Custom Steel Fabrication | ZhongSai,Fabricated Steel Beams & Columns to Project Drawings,Fabricated Steel Beams & Columns to Project Drawings,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,EN,component_detail,Steel Roof & Wall Cladding Systems | ZhongSai,Steel Roof & Wall Cladding Systems for Steel Buildings,Steel Roof & Wall Cladding Systems for Steel Buildings,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/components/steel-trusses/,EN,component_detail,"Steel Trusses | Roof Trusses, Pipe Trusses & Transfer Trusses Fabricated to Drawings | ZhongSai",Custom Steel TrussesFabricated to Drawings,Custom Steel TrussesFabricated to Drawings,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/components/steel-purlins/,EN,component_detail,Steel Purlins | C Purlins & Z Purlins Cold-Formed for Roof and Wall | ZhongSai,C Purlins & Z PurlinsCold-Formed to Project Specs,C Purlins & Z PurlinsCold-Formed to Project Specs,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/manufacturing-quality/,EN,manufacturing_quality,Steel Structure Manufacturing & Quality Control | ZhongSai,Steel Structure Manufacturing& Quality Control,Steel Structure Manufacturing& Quality Control,steel structure manufacturing quality control,"steel fabrication process, quality control, welding inspection",Commercial Investigation,Supplier Verification,High,None,KEEP
https://zhongsai-steelstructure.com/en/steel-workshop/,EN,product_detail,Steel Structure Workshop | Industrial Factory Building | ZhongSai,Steel Structure Workshop for Industrial Manufacturing Projects,Steel Structure Workshop for Industrial Manufacturing Projects,steel structure workshop manufacturer China,"prefab steel workshop, industrial factory building, steel workshop supplier",Transactional,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/en/steel-warehouse/,EN,product_detail,Steel Structure Warehouse | Prefabricated Warehouse Building | ZhongSai,Steel Structure Warehouse & Logistics Building,Steel Structure Warehouse & Logistics Building,steel structure warehouse manufacturer China,"prefab steel warehouse, logistics building, steel warehouse supplier",Transactional,Comparison / Quotation,High,None,KEEP
