url,search_intent,direct_answer,structure,buyer_questions,evidence,internal_links,fact_consistency,search_intent_clarity,overall_score,h2_count,img_count
https://zhongsai-steelstructure.com/en/,Homepage - brand and capability overview,5,9,6,9,9,9,7,7.7,11,12
https://zhongsai-steelstructure.com/en/about/,Company verification and trust,5,9,6,9,9,9,7,7.7,11,22
https://zhongsai-steelstructure.com/en/steel-workshop/,Steel workshop product information,7,9,8,7,9,9,7,8.0,10,4
https://zhongsai-steelstructure.com/en/steel-warehouse/,Steel warehouse product information,7,9,8,7,9,9,7,8.0,10,4
https://zhongsai-steelstructure.com/en/components/,Steel components overview,7,9,6,5,9,9,7,7.4,6,2
https://zhongsai-steelstructure.com/en/manufacturing-quality/,Manufacturing and quality proof,7,9,6,9,9,9,7,8.0,8,14
https://zhongsai-steelstructure.com/en/export-delivery/,Export and delivery process,5,9,6,9,9,9,7,7.7,8,7
https://zhongsai-steelstructure.com/en/resources/,Technical resources hub,7,7,6,5,9,9,7,7.1,4,2
https://zhongsai-steelstructure.com/en/blog/how-to-choose-steel-structure-supplier/,Supplier selection guide,5,9,6,5,9,9,9,7.4,12,2
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide/,Import from China guide,5,9,8,5,9,9,9,7.7,9,2
https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,Warehouse cost guide,5,9,8,5,9,9,9,7.7,8,2
https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china/,Shipping cost guide,5,9,8,5,9,9,9,7.7,8,2
