old_path,old_url,language,old_title,old_h1,page_type,migration_action,new_path,new_url,reason,confidence,priority,launch_blocker,search_evidence,commercial_intent,business_relevance,content_quality,fact_risk,final_priority,final_action,legacy_preserve,gsc_supported,review_notes
,https://zhongsai-steelstructure.com/,OTHER,中赛钢构｜钢结构设计、深化、制造与全球出口交付,让钢结构项目从图纸走向现场,homepage,301_ONE_TO_ONE,/en/,https://zhongsai-steelstructure.com/en/,ROOT CUTOVER RULE: root / -> /en/ at domain switch (HTTP 301/302). Separate from content 301s.,HIGH,,NO,UNKNOWN,LOW,MEDIUM,USABLE,OK,N/A,301_ONE_TO_ONE,NO,NO,
/404,https://zhongsai-steelstructure.com/404,OTHER,页面未找到 | 404 - 中赛钢构,页面未找到,utility,IGNORE_NON_PAGE,,,"404 error page, not an SEO page",HIGH,,NO,UNKNOWN,LOW,MEDIUM,USABLE,OK,N/A,IGNORE_NON_PAGE,NO,NO,
/about,https://zhongsai-steelstructure.com/about,OTHER,关于中赛钢构 | 15年以上钢结构出口经验的中国厂家,关于中赛钢构,about,301_ONE_TO_ONE,/en/about/,https://zhongsai-steelstructure.com/en/about/,Path changed but same search intent; V2 has equivalent page,HIGH,,NO,UNKNOWN,LOW,MEDIUM,USABLE,OK,N/A,301_ONE_TO_ONE,NO,NO,
/blog,https://zhongsai-steelstructure.com/blog/,OTHER,钢结构博客 | 行业洞察、指南和成本分析 - 中赛钢构,Steel Structure Insights & Buying Guides,blog,MIGRATE_CONTENT,,,Blog hub; V2 has no blog system. High SEO traffic asset.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P2_GROWTH,DROP_CANDIDATE,NO,NO,"Blog cluster: Other Blog | Low intent/other: drop candidate, review before 410"
/blog/gangjiegou-anzhuang-zhinan-haiwai,https://zhongsai-steelstructure.com/blog/gangjiegou-anzhuang-zhinan-haiwai,OTHER,钢结构建筑安装指南：海外项目分步操作手册,钢结构建筑安装指南：海外项目分步操作手册,blog,MIGRATE_CONTENT,,,Blog article (gangjiegou-anzhuang-zhinan-haiwai); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P1,YES,UNKNOWN,LOW,MEDIUM,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
/blog/gangjiegou-cangku-zaojia-duoshaoqian,https://zhongsai-steelstructure.com/blog/gangjiegou-cangku-zaojia-duoshaoqian,OTHER,钢结构仓库造价多少钱一平方？2026年完整价格指南,钢结构仓库造价多少钱一平方？2026年完整价格指南,blog,MIGRATE_CONTENT,,,Blog article (gangjiegou-cangku-zaojia-duoshaoqian); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P1,YES,UNKNOWN,LOW,MEDIUM,USABLE,OK,P1_30_DAYS,SAFE_MERGE,NO,NO,Blog cluster: Warehouse Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days
/blog/gangjiegou-chukou-feizhou-quanliucheng,https://zhongsai-steelstructure.com/blog/gangjiegou-chukou-feizhou-quanliucheng,OTHER,钢结构出口非洲全流程指南：从设计到安装的完整攻略,钢结构出口非洲全流程指南：从设计到安装的完整攻略,blog,MIGRATE_CONTENT,,,Blog article (gangjiegou-chukou-feizhou-quanliucheng); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P1,YES,UNKNOWN,LOW,MEDIUM,USABLE,OK,P1_30_DAYS,SAFE_MERGE,NO,NO,Blog cluster: Import from China | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days
/blog/gangjiegou-vs-hunningtu-chengben-duibi,https://zhongsai-steelstructure.com/blog/gangjiegou-vs-hunningtu-chengben-duibi,OTHER,钢结构 vs 混凝土建筑：成本对比及如何选择,钢结构 vs 混凝土建筑：成本对比及如何选择,blog,MIGRATE_CONTENT,,,Blog article (gangjiegou-vs-hunningtu-chengben-duibi); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,LOW,MEDIUM,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
/blog/how-much-does-steel-structure-warehouse-cost,https://zhongsai-steelstructure.com/blog/how-much-does-steel-structure-warehouse-cost,OTHER,How Much Does a Steel Structure Warehouse Cost? Complete Price Guide 2026,How Much Does a Steel Structure Warehouse Cost? Complete Price Guide 2026,blog,MIGRATE_CONTENT,,,Blog article (how-much-does-steel-structure-warehouse-cost); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P1_30_DAYS,SAFE_MERGE,NO,NO,Blog cluster: Warehouse Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days
/blog/how-to-import-steel-structure-from-china-to-africa,https://zhongsai-steelstructure.com/blog/how-to-import-steel-structure-from-china-to-africa,OTHER,How to Import Steel Structure from China to Africa: Complete Guide 2026,How to Import Steel Structure from China to Africa: Complete Guide 2026,blog,MIGRATE_CONTENT,,,Blog article (how-to-import-steel-structure-from-china-to-africa); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,SAFE_MERGE,NO,NO,Blog cluster: Import from China | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days
